InvoiceNo,StockCode,Quantity,CustomerID
INV200039,P100380,5,10885
INV200039,P100412,2,10338
INV200040,P100345,3,10324
INV200040,P100149,4,10384
INV200040,P100034,5,10788
INV200041,P100325,2,10672
INV200041,P100286,6,10319
INV200041,P100019,1,10410
INV200042,P100480,4,10184
INV200042,P100304,3,10670
INV200042,P100322,4,10161
INV200043,P100459,2,10965
INV200043,P100073,1,10964
INV200043,P100303,5,10980
INV200044,P100027,2,10473
INV200044,P100062,5,10696
INV200044,P100146,5,10069
INV200045,P100449,4,10040
INV200045,P100125,4,10493
INV200045,P100274,2,10117
INV200046,P100215,1,10241
INV200046,P100369,2,10014
INV200046,P100015,2,10499
INV200047,P100320,7,10009
INV200047,P100205,7,10439
INV200047,P100082,4,10375
INV200048,P100043,3,10635
INV200048,P100123,5,10924
INV200048,P100445,3,10577
INV200049,P100211,5,10649
INV200049,P100052,1,10364
INV200049,P100372,3,10362
INV200050,P100085,1,10855
INV200050,P100351,3,10591
INV200050,P100466,1,10580
INV200051,P100035,4,10229
INV200051,P100264,3,10049
INV200051,P100061,5,10598
INV200052,P100066,3,10603
INV200052,P100462,3,10134
INV200052,P100455,4,10686
INV200053,P100171,6,10477
INV200053,P100389,1,10652
INV200053,P100415,1,10865
INV200054,P100426,4,10517
INV200054,P100450,3,10563
INV200054,P100331,2,10719
INV200055,P100339,4,10438
INV200055,P100385,1,10340
INV200055,P100343,5,10521
INV200056,P100466,5,10938
INV200056,P100198,1,10097
INV200056,P100044,2,10174
INV200057,P100277,3,10227
INV200057,P100227,2,10237
INV200057,P100246,1,10167
INV200058,P100268,2,10905
INV200058,P100299,1,10613
INV200058,P100067,3,10084
INV200059,P100232,1,10489
INV200059,P100134,2,10126
INV200059,P100336,1,10014
INV200060,P100352,2,10536
INV200060,P100436,6,10005
INV200060,P100152,6,10116
INV200061,P100377,1,10083
INV200061,P100366,2,10784
INV200061,P100343,4,10541
INV200062,P100119,4,10530
INV200062,P100293,2,10884
INV200062,P100386,1,10259
INV200063,P100282,3,10972
INV200063,P100449,3,10534
INV200063,P100171,2,10209
INV200064,P100086,4,10855
INV200064,P100461,2,10420
INV200064,P100356,3,10841
INV200065,P100243,3,10361
INV200065,P100366,1,10900
INV200065,P100092,2,10979
INV200066,P100242,5,10518
INV200066,P100413,4,10123
INV200066,P100249,1,10691
INV200067,P100291,4,10882
INV200067,P100373,3,10520
INV200067,P100242,3,10558
INV200068,P100484,3,10687
INV200068,P100175,1,10878
INV200068,P100150,1,10174
INV200069,P100333,4,10160
INV200069,P100356,4,10867
INV200069,P100102,2,10956
INV200070,P100100,1,10923
INV200070,P100013,4,10284
INV200070,P100152,1,10857
INV200071,P100487,4,10089
INV200071,P100213,2,10272
INV200071,P100316,4,10740
INV200072,P100041,3,10843
INV200072,P100290,3,10876
INV200072,P100353,3,10344
INV200073,P100207,2,10953
INV200073,P100338,5,10755
INV200073,P100082,3,10197
INV200074,P100051,2,10149
INV200074,P100256,3,10719
INV200074,P100346,3,10918
INV200075,P100163,1,10659
INV200075,P100341,3,10546
INV200075,P100135,4,10754
INV200076,P100318,1,10485
INV200076,P100255,7,10202
INV200076,P100120,2,10387
INV200077,P100297,4,10466
INV200077,P100131,2,10196
INV200077,P100339,4,10550
INV200078,P100033,4,10214
INV200078,P100374,1,10176
INV200078,P100225,3,10330
INV200079,P100364,4,10924
INV200079,P100266,3,10476
INV200079,P100481,4,10165
INV200080,P100422,3,10263
INV200080,P100280,5,10656
INV200080,P100283,3,10161
INV200081,P100034,3,10504
INV200081,P100455,4,10974
INV200081,P100454,3,10970
INV200082,P100453,4,10067
INV200082,P100464,1,10271
INV200082,P100037,6,10448
INV200083,P100261,2,10634
INV200083,P100074,2,10127
INV200083,P100456,3,10418
INV200084,P100488,5,10568
INV200084,P100256,3,10681
INV200084,P100223,6,10946
INV200085,P100425,7,10965
INV200085,P100095,2,10145
INV200085,P100292,4,10352
INV200086,P100033,2,10110
INV200086,P100223,5,10815
INV200086,P100169,3,10950
INV200087,P100023,2,10430
INV200087,P100137,3,10057
INV200087,P100205,6,10317
INV200088,P100112,5,10409
INV200088,P100356,5,10988
INV200088,P100443,2,10969
INV200089,P100316,4,10100
INV200089,P100282,4,10239
INV200089,P100201,3,10069
INV200090,P100282,2,10276
INV200090,P100201,4,10912
INV200090,P100290,2,10531
INV200091,P100140,3,10533
INV200091,P100423,3,10425
INV200091,P100329,3,10237
INV200092,P100254,2,10650
INV200092,P100286,3,10157
INV200092,P100366,6,10723
INV200093,P100490,4,10797
INV200093,P100052,1,10620
INV200093,P100436,1,10438
INV200094,P100462,3,10084
INV200094,P100015,6,10930
INV200094,P100275,2,10085
INV200095,P100198,1,10721
INV200095,P100149,5,10552
INV200095,P100242,4,10390
INV200096,P100099,5,10349
INV200096,P100209,3,10372
INV200096,P100120,4,10952
INV200097,P100002,7,10034
INV200097,P100409,5,10870
INV200097,P100256,1,10950
INV200098,P100381,3,10823
INV200098,P100433,6,10185
INV200098,P100395,4,10149
INV200099,P100004,1,10036
INV200099,P100080,5,10421
INV200099,P100310,1,10684
INV200100,P100141,3,10803
INV200100,P100155,3,10325
INV200100,P100163,3,10336
INV200101,P100402,2,10543
INV200101,P100480,4,10771
INV200101,P100189,2,10770
INV200102,P100211,2,10532
INV200102,P100335,5,10403
INV200102,P100281,2,10569
INV200103,P100163,1,10035
INV200103,P100192,5,10440
INV200103,P100462,3,10921
INV200104,P100023,3,10958
INV200104,P100179,1,10513
INV200104,P100167,2,10188
INV200105,P100314,3,10257
INV200105,P100259,5,10171
INV200105,P100322,2,10068
INV200106,P100480,3,10687
INV200106,P100118,4,10058
INV200106,P100278,4,10312
INV200107,P100356,2,10185
INV200107,P100016,1,10861
INV200107,P100322,3,10246
INV200108,P100128,4,10994
INV200108,P100222,3,10284
INV200108,P100238,5,10881
INV200109,P100043,5,10007
INV200109,P100304,4,10145
INV200109,P100384,4,10269
INV200110,P100329,1,10911
INV200110,P100390,4,10472
INV200110,P100131,3,10942
INV200111,P100302,2,10602
INV200111,P100089,3,10708
INV200111,P100102,6,10681
INV200112,P100461,1,10060
INV200112,P100401,3,10644
INV200112,P100389,2,10999
INV200113,P100088,6,10089
INV200113,P100227,7,10939
INV200113,P100469,2,10361
INV200114,P100229,3,10871
INV200114,P100084,5,10887
INV200114,P100091,3,10016
INV200115,P100388,3,10365
INV200115,P100424,1,10391
INV200115,P100025,4,10723
INV200116,P100101,3,10900
INV200116,P100485,2,10922
INV200116,P100009,5,10787
INV200117,P100461,3,10149
INV200117,P100134,4,10030
INV200117,P100191,4,10250
INV200118,P100363,6,10977
INV200118,P100398,7,10236
INV200118,P100107,2,10510
INV200119,P100470,4,10842
INV200119,P100207,1,10476
INV200119,P100226,6,10258
INV200120,P100106,2,10470
INV200120,P100141,3,10122
INV200120,P100275,4,10758
INV200121,P100277,3,10676
INV200121,P100436,4,10250
INV200121,P100305,3,10071
INV200122,P100147,2,10982
INV200122,P100462,2,10212
INV200122,P100136,2,10727
INV200123,P100228,4,10231
INV200123,P100355,2,10560
INV200123,P100272,2,10286
INV200124,P100175,2,10703
INV200124,P100384,2,10626
INV200124,P100000,2,10034
INV200125,P100433,6,10040
INV200125,P100353,6,10327
INV200125,P100042,2,10191
INV200126,P100087,2,10270
INV200126,P100102,1,10389
INV200126,P100462,4,10077
INV200127,P100230,2,10917
INV200127,P100452,1,10590
INV200127,P100098,3,10908
INV200128,P100273,3,10244
INV200128,P100033,4,10101
INV200128,P100214,2,10080
INV200129,P100111,3,10065
INV200129,P100499,2,10348
INV200129,P100012,1,10264
INV200130,P100326,6,10955
INV200130,P100470,2,10280
INV200130,P100220,1,10910
INV200131,P100448,3,10473
INV200131,P100160,4,10106
INV200131,P100294,2,10507
INV200132,P100100,1,10466
INV200132,P100374,2,10700
INV200132,P100431,2,10212
INV200133,P100367,3,10782
INV200133,P100387,2,10517
INV200133,P100285,2,10690
INV200134,P100391,3,10891
INV200134,P100189,4,10323
INV200134,P100283,5,10312
INV200135,P100087,2,10390
INV200135,P100225,2,10688
INV200135,P100305,1,10837
INV200136,P100240,4,10354
INV200136,P100487,3,10373
INV200136,P100174,4,10543
INV200137,P100344,4,10471
INV200137,P100405,2,10230
INV200137,P100084,3,10265
INV200138,P100179,4,10435
INV200138,P100259,3,10720
INV200138,P100020,1,10981
INV200139,P100010,4,10511
INV200139,P100342,1,10531
INV200139,P100215,3,10679
INV200140,P100056,5,10997
INV200140,P100480,4,10566
INV200140,P100294,4,10612
INV200141,P100462,3,10242
INV200141,P100152,2,10668
INV200141,P100130,1,10084
INV200142,P100406,5,10947
INV200142,P100489,2,10585
INV200142,P100449,2,10947
INV200143,P100149,4,10748
INV200143,P100221,2,10952
INV200143,P100071,2,10564
INV200144,P100311,4,10707
INV200144,P100343,5,10404
INV200144,P100205,5,10925
INV200145,P100093,3,10435
INV200145,P100122,3,10170
INV200145,P100052,4,10336
INV200146,P100106,1,10125
INV200146,P100448,2,10312
INV200146,P100294,1,10696
INV200147,P100484,3,10812
INV200147,P100180,4,10180
INV200147,P100157,2,10030
INV200148,P100475,4,10009
INV200148,P100280,2,10004
INV200148,P100396,3,10368
INV200149,P100441,4,10853
INV200149,P100422,5,10235
INV200149,P100113,2,10850
INV200150,P100158,5,10667
INV200150,P100245,3,10784
INV200150,P100421,1,10113
INV200151,P100153,1,10587
INV200151,P100194,2,10918
INV200151,P100303,2,10523
INV200152,P100473,6,10968
INV200152,P100447,5,10475
INV200152,P100371,4,10073
INV200153,P100359,4,10412
INV200153,P100324,5,10458
INV200153,P100358,3,10618
INV200154,P100116,4,10728
INV200154,P100485,1,10250
INV200154,P100212,6,10837
INV200155,P100207,3,10590
INV200155,P100031,2,10163
INV200155,P100189,4,10995
INV200156,P100408,3,10770
INV200156,P100426,3,10088
INV200156,P100345,2,10812
INV200157,P100338,5,10624
INV200157,P100480,4,10098
INV200157,P100279,3,10042
INV200158,P100351,5,10421
INV200158,P100204,3,10243
INV200158,P100090,2,10905
INV200159,P100017,4,10038
INV200159,P100034,3,10462
INV200159,P100153,6,10721
INV200160,P100301,5,10963
INV200160,P100141,2,10657
INV200160,P100106,5,10258
INV200161,P100227,2,10525
INV200161,P100062,1,10153
INV200161,P100066,3,10180
INV200162,P100080,2,10287
INV200162,P100413,5,10791
INV200162,P100438,2,10765
INV200163,P100251,2,10695
INV200163,P100317,3,10221
INV200163,P100160,2,10338
INV200164,P100053,2,10037
INV200164,P100008,2,10641
INV200164,P100097,4,10477
INV200165,P100206,2,10998
INV200165,P100468,4,10928
INV200165,P100367,2,10272
INV200166,P100418,3,10634
INV200166,P100149,2,10146
INV200166,P100091,4,10648
INV200167,P100004,2,10640
INV200167,P100246,1,10804
INV200167,P100039,4,10362
INV200168,P100386,2,10329
INV200168,P100300,5,10755
INV200168,P100020,7,10516
INV200169,P100029,3,10161
INV200169,P100259,4,10428
INV200169,P100446,6,10915
INV200170,P100100,2,10671
INV200170,P100474,2,10325
INV200170,P100103,2,10918
INV200171,P100000,5,10837
INV200171,P100332,3,10278
INV200171,P100456,1,10635
INV200172,P100152,4,10131
INV200172,P100231,2,10553
INV200172,P100319,2,10052
INV200173,P100447,1,10589
INV200173,P100475,4,10015
INV200173,P100235,3,10552
INV200174,P100260,2,10791
INV200174,P100347,4,10838
INV200174,P100065,4,10715
INV200175,P100138,2,10854
INV200175,P100419,3,10966
INV200175,P100356,2,10608
INV200176,P100031,4,10388
INV200176,P100398,3,10207
INV200176,P100233,4,10122
INV200177,P100239,4,10606
INV200177,P100286,4,10309
INV200177,P100023,3,10330
INV200178,P100117,2,10368
INV200178,P100183,4,10428
INV200178,P100484,3,10062
INV200179,P100482,2,10539
INV200179,P100270,5,10582
INV200179,P100254,4,10866
INV200180,P100387,3,10823
INV200180,P100196,3,10092
INV200180,P100169,5,10635
INV200181,P100059,4,10288
INV200181,P100053,3,10704
INV200181,P100452,1,10301
INV200182,P100232,6,10834
INV200182,P100056,3,10896
INV200182,P100008,1,10494
INV200183,P100423,2,10328
INV200183,P100069,6,10181
INV200183,P100482,1,10289
INV200184,P100260,3,10550
INV200184,P100035,2,10763
INV200184,P100399,3,10876
INV200185,P100341,3,10127
INV200185,P100195,2,10317
INV200185,P100465,1,10488
INV200186,P100166,1,10943
INV200186,P100228,3,10485
INV200186,P100261,2,10332
INV200187,P100368,1,10510
INV200187,P100219,2,10459
INV200187,P100125,3,10046
INV200188,P100176,3,10106
INV200188,P100210,4,10825
INV200188,P100083,4,10075
INV200189,P100338,3,10420
INV200189,P100032,3,10425
INV200189,P100032,3,10621
INV200190,P100019,2,10596
INV200190,P100144,3,10803
INV200190,P100264,4,10755
INV200191,P100408,2,10050
INV200191,P100320,2,10144
INV200191,P100346,3,10942
INV200192,P100091,3,10488
INV200192,P100123,4,10508
INV200192,P100276,2,10482
INV200193,P100039,5,10429
INV200193,P100365,5,10952
INV200193,P100278,3,10710
INV200194,P100178,6,10291
INV200194,P100340,3,10036
INV200194,P100198,6,10317
INV200195,P100231,4,10193
INV200195,P100059,2,10590
INV200195,P100097,3,10014
INV200196,P100155,9,10900
INV200196,P100430,2,10169
INV200196,P100170,2,10403
INV200197,P100022,4,10900
INV200197,P100438,1,10322
INV200197,P100238,5,10881
INV200198,P100323,5,10345
INV200198,P100006,3,10549
INV200198,P100238,3,10165
INV200199,P100062,3,10411
INV200199,P100392,4,10222
INV200199,P100468,3,10668
INV200200,P100370,2,10311
INV200200,P100386,2,10259
INV200200,P100466,4,10598
INV200201,P100040,4,10553
INV200201,P100408,1,10544
INV200201,P100269,3,10994
INV200202,P100420,7,10005
INV200202,P100026,3,10874
INV200202,P100167,3,10123
INV200203,P100364,2,10355
INV200203,P100095,6,10328
INV200203,P100179,2,10935
INV200204,P100284,5,10650
INV200204,P100377,4,10424
INV200204,P100079,4,10760
INV200205,P100289,2,10968
INV200205,P100077,2,10889
INV200205,P100161,4,10425
INV200206,P100489,2,10363
INV200206,P100146,4,10405
INV200206,P100316,3,10037
INV200207,P100167,3,10062
INV200207,P100142,3,10039
INV200207,P100391,1,10535
INV200208,P100025,2,10106
INV200208,P100273,4,10056
INV200208,P100268,5,10837
INV200209,P100247,3,10675
INV200209,P100125,5,10915
INV200209,P100297,5,10816
INV200210,P100246,4,10639
INV200210,P100420,5,10636
INV200210,P100041,5,10060
INV200211,P100089,2,10003
INV200211,P100008,2,10417
INV200211,P100463,4,10664
INV200212,P100012,3,10243
INV200212,P100299,2,10582
INV200212,P100196,3,10689
INV200213,P100257,3,10926
INV200213,P100039,2,10968
INV200213,P100220,4,10515
INV200214,P100097,2,10038
INV200214,P100094,4,10656
INV200214,P100129,3,10701
INV200215,P100261,4,10265
INV200215,P100324,1,10970
INV200215,P100289,1,10985
INV200216,P100130,1,10658
INV200216,P100254,6,10924
INV200216,P100373,5,10018
INV200217,P100483,3,10661
INV200217,P100479,3,10951
INV200217,P100006,5,10289
INV200218,P100471,2,10712
INV200218,P100421,2,10027
INV200218,P100486,2,10377
INV200219,P100244,5,10580
INV200219,P100274,3,10200
INV200219,P100421,3,10538
INV200220,P100224,5,10999
INV200220,P100352,3,10039
INV200220,P100397,6,10780
INV200221,P100314,3,10757
INV200221,P100492,3,10001
INV200221,P100427,2,10568
INV200222,P100482,4,10679
INV200222,P100098,5,10750
INV200222,P100333,3,10277
INV200223,P100215,3,10678
INV200223,P100451,1,10071
INV200223,P100461,3,10656
INV200224,P100244,3,10219
INV200224,P100454,3,10662
INV200224,P100199,3,10731
INV200225,P100489,1,10191
INV200225,P100056,1,10607
INV200225,P100484,3,10436
INV200226,P100300,6,10288
INV200226,P100479,3,10469
INV200226,P100187,2,10538
INV200227,P100446,5,10939
INV200227,P100050,4,10736
INV200227,P100445,1,10045
INV200228,P100052,5,10466
INV200228,P100296,1,10123
INV200228,P100050,1,10477
INV200229,P100407,2,10498
INV200229,P100039,1,10093
INV200229,P100139,7,10437
INV200230,P100355,5,10904
INV200230,P100491,2,10502
INV200230,P100308,3,10473
INV200231,P100416,5,10828
INV200231,P100339,2,10801
INV200231,P100159,1,10117
INV200232,P100422,2,10986
INV200232,P100427,4,10965
INV200232,P100033,3,10011
INV200233,P100134,5,10984
INV200233,P100433,6,10089
INV200233,P100409,4,10672
INV200234,P100473,4,10466
INV200234,P100418,3,10979
INV200234,P100392,2,10485
INV200235,P100480,1,10350
INV200235,P100431,2,10575
INV200235,P100454,1,10971
INV200236,P100241,2,10801
INV200236,P100444,3,10099
INV200236,P100170,3,10032
INV200237,P100372,1,10573
INV200237,P100299,3,10829
INV200237,P100183,5,10015
INV200238,P100328,3,10596
INV200238,P100120,3,10459
INV200238,P100030,3,10413
INV200239,P100225,3,10360
INV200239,P100123,5,10364
INV200239,P100003,3,10965
INV200240,P100418,4,10827
INV200240,P100299,1,10309
INV200240,P100198,5,10332
INV200241,P100083,2,10720
INV200241,P100224,2,10192
INV200241,P100287,3,10722
INV200242,P100458,3,10325
INV200242,P100417,4,10551
INV200242,P100118,6,10795
INV200243,P100283,2,10745
INV200243,P100187,4,10358
INV200243,P100435,2,10496
INV200244,P100485,2,10725
INV200244,P100043,3,10455
INV200244,P100256,2,10637
INV200245,P100481,4,10213
INV200245,P100098,3,10523
INV200245,P100008,4,10145
INV200246,P100129,3,10717
INV200246,P100081,4,10258
INV200246,P100056,2,10167
INV200247,P100296,4,10388
INV200247,P100361,3,10460
INV200247,P100041,3,10798
INV200248,P100498,3,10331
INV200248,P100011,3,10194
INV200248,P100041,2,10716
INV200249,P100086,3,10947
INV200249,P100303,3,10902
INV200249,P100284,3,10642
INV200250,P100108,4,10308
INV200250,P100116,1,10975
INV200250,P100142,4,10968
INV200251,P100177,2,10355
INV200251,P100132,3,10442
INV200251,P100300,3,10620
INV200252,P100332,4,10643
INV200252,P100038,3,10990
INV200252,P100434,3,10775
INV200253,P100119,3,10248
INV200253,P100113,4,10699
INV200253,P100084,1,10396
INV200254,P100353,6,10986
INV200254,P100371,4,10660
INV200254,P100037,4,10263
INV200255,P100354,2,10748
INV200255,P100483,2,10652
INV200255,P100197,4,10923
INV200256,P100206,6,10251
INV200256,P100093,3,10906
INV200256,P100074,1,10322
INV200257,P100175,4,10664
INV200257,P100134,4,10453
INV200257,P100499,3,10113
INV200258,P100351,3,10327
INV200258,P100233,3,10508
INV200258,P100345,2,10380
INV200259,P100160,3,10228
INV200259,P100091,2,10388
INV200259,P100222,1,10683
INV200260,P100257,3,10267
INV200260,P100264,3,10572
INV200260,P100224,2,10470
INV200261,P100476,4,10600
INV200261,P100396,2,10521
INV200261,P100401,5,10918
INV200262,P100129,1,10258
INV200262,P100196,4,10089
INV200262,P100232,3,10026
INV200263,P100000,1,10257
INV200263,P100254,3,10398
INV200263,P100133,3,10145
INV200264,P100443,2,10567
INV200264,P100018,3,10419
INV200264,P100193,4,10240
INV200265,P100356,6,10704
INV200265,P100057,3,10966
INV200265,P100152,8,10423
INV200266,P100162,6,10111
INV200266,P100347,6,10905
INV200266,P100109,2,10946
INV200267,P100210,2,10858
INV200267,P100037,2,10853
INV200267,P100400,5,10521
INV200268,P100185,3,10075
INV200268,P100224,3,10125
INV200268,P100172,2,10968
INV200269,P100320,3,10736
INV200269,P100280,3,10232
INV200269,P100109,4,10969
INV200270,P100220,3,10319
INV200270,P100232,5,10471
INV200270,P100121,2,10880
INV200271,P100245,4,10656
INV200271,P100361,3,10041
INV200271,P100473,3,10900
INV200272,P100040,1,10354
INV200272,P100494,4,10063
INV200272,P100428,1,10616
INV200273,P100489,6,10772
INV200273,P100376,3,10739
INV200273,P100119,2,10272
INV200274,P100398,2,10856
INV200274,P100276,2,10096
INV200274,P100162,3,10408
INV200275,P100153,1,10435
INV200275,P100316,3,10849
INV200275,P100485,4,10461
INV200276,P100482,3,10299
INV200276,P100013,2,10353
INV200276,P100218,2,10460
INV200277,P100227,2,10017
INV200277,P100070,4,10668
INV200277,P100069,1,10541
INV200278,P100446,3,10568
INV200278,P100359,1,10681
INV200278,P100223,4,10128
INV200279,P100054,3,10134
INV200279,P100004,4,10452
INV200279,P100392,2,10089
INV200280,P100160,2,10809
INV200280,P100068,1,10331
INV200280,P100005,3,10665
INV200281,P100286,5,10658
INV200281,P100317,2,10113
INV200281,P100427,1,10360
INV200282,P100370,4,10481
INV200282,P100335,2,10988
INV200282,P100361,3,10792
INV200283,P100463,2,10784
INV200283,P100445,3,10464
INV200283,P100328,3,10668
INV200284,P100125,2,10752
INV200284,P100430,2,10902
INV200284,P100405,4,10145
INV200285,P100150,4,10870
INV200285,P100259,2,10904
INV200285,P100293,3,10614
INV200286,P100374,2,10639
INV200286,P100315,1,10592
INV200286,P100187,1,10396
INV200287,P100263,4,10111
INV200287,P100450,3,10814
INV200287,P100122,5,10269
INV200288,P100207,2,10971
INV200288,P100269,6,10362
INV200288,P100158,5,10075
INV200289,P100128,1,10039
INV200289,P100248,4,10231
INV200289,P100106,2,10286
INV200290,P100122,3,10842
INV200290,P100098,4,10222
INV200290,P100482,8,10766
INV200291,P100164,3,10776
INV200291,P100201,2,10684
INV200291,P100494,3,10818
INV200292,P100329,3,10086
INV200292,P100170,7,10472
INV200292,P100384,2,10461
INV200293,P100322,5,10100
INV200293,P100151,1,10690
INV200293,P100064,3,10907
INV200294,P100390,1,10994
INV200294,P100317,4,10938
INV200294,P100270,3,10139
INV200295,P100300,7,10340
INV200295,P100329,3,10987
INV200295,P100023,4,10167
INV200296,P100082,4,10699
INV200296,P100054,2,10970
INV200296,P100193,3,10658
INV200297,P100044,3,10015
INV200297,P100326,1,10254
INV200297,P100146,5,10057
INV200298,P100426,2,10202
INV200298,P100455,2,10910
INV200298,P100047,4,10125
INV200299,P100432,7,10978
INV200299,P100472,1,10719
INV200299,P100017,1,10956
INV200300,P100438,3,10018
INV200300,P100392,1,10888
INV200300,P100205,1,10050
INV200301,P100265,2,10124
INV200301,P100449,3,10886
INV200301,P100102,5,10039
INV200302,P100387,2,10890
INV200302,P100406,3,10913
INV200302,P100429,4,10704
INV200303,P100263,3,10351
INV200303,P100315,2,10959
INV200303,P100180,5,10300
INV200304,P100185,1,10886
INV200304,P100181,1,10298
INV200304,P100364,2,10766
INV200305,P100135,3,10154
INV200305,P100481,4,10342
INV200305,P100341,3,10467
INV200306,P100421,2,10452
INV200306,P100381,4,10809
INV200306,P100003,5,10341
INV200307,P100271,5,10180
INV200307,P100418,1,10914
INV200307,P100271,4,10700
INV200308,P100199,3,10025
INV200308,P100065,2,10207
INV200308,P100029,2,10278
INV200309,P100074,5,10596
INV200309,P100016,1,10581
INV200309,P100468,2,10540
INV200310,P100293,1,10747
INV200310,P100434,2,10815
INV200310,P100483,5,10394
INV200311,P100093,3,10756
INV200311,P100315,2,10718
INV200311,P100141,4,10826
INV200312,P100306,1,10419
INV200312,P100245,2,10782
INV200312,P100270,1,10183
INV200313,P100322,3,10529
INV200313,P100408,2,10976
INV200313,P100195,2,10045
INV200314,P100380,4,10533
INV200314,P100088,1,10073
INV200314,P100010,2,10197
INV200315,P100486,3,10241
INV200315,P100200,1,10769
INV200315,P100017,4,10969
INV200316,P100039,4,10789
INV200316,P100138,3,10285
INV200316,P100445,2,10162
INV200317,P100195,2,10065
INV200317,P100076,5,10382
INV200317,P100192,1,10738
INV200318,P100380,5,10750
INV200318,P100187,3,10534
INV200318,P100410,2,10735
INV200319,P100043,3,10711
INV200319,P100026,4,10614
INV200319,P100089,4,10994
INV200320,P100489,1,10696
INV200320,P100392,2,10704
INV200320,P100181,3,10334
INV200321,P100338,2,10313
INV200321,P100237,3,10904
INV200321,P100322,2,10222
INV200322,P100071,3,10805
INV200322,P100043,5,10894
INV200322,P100313,2,10062
INV200323,P100195,4,10334
INV200323,P100143,4,10970
INV200323,P100221,1,10591
INV200324,P100493,4,10217
INV200324,P100023,5,10347
INV200324,P100127,2,10479
INV200325,P100125,2,10998
INV200325,P100396,3,10851
INV200325,P100467,3,10575
INV200326,P100430,3,10465
INV200326,P100080,1,10396
INV200326,P100240,3,10074
INV200327,P100049,2,10237
INV200327,P100259,5,10239
INV200327,P100265,3,10935
INV200328,P100319,4,10694
INV200328,P100215,5,10137
INV200328,P100201,2,10637
INV200329,P100221,2,10945
INV200329,P100388,1,10458
INV200329,P100193,5,10668
INV200330,P100491,2,10037
INV200330,P100471,3,10494
INV200330,P100250,2,10543
INV200331,P100491,1,10629
INV200331,P100158,4,10136
INV200331,P100439,3,10882
